Cuadro,CIx,CIy,TMx,TMy,Rodillax,Rodillay,Tobillox,Tobilloy,TalónxD,TalónyD,DedoxD,DedoyD
-1,-129.7,959.4,-151.93,815.67,60,499.2,179.67,122.53,137.07,32.53,389.6,174.6
0,-117,960.8,-138.88,817.31,71.27,500.17,184.3,122.3,139.2,33.8,393.57,166.11
1,-105.7,961,-151.9,815.7,60,499.2,179.7,122.5,137.1,32.5,389.6,174.6
2,-93.3,961.2,-138.9,817.3,71.3,500.2,184.3,122.3,139.2,33.8,393.6,166.1
3,-80.1,961.6,-127.4,817.4,81.5,499.7,188.6,121.4,141,35.7,399.1,158.3
4,-66.5,962.1,-114.7,817.6,92.8,499.2,193.2,120.4,142.8,37.8,405,149.8
5,-52.6,962.9,-101.3,818,104.7,498.8,198,119.4,144.8,39.9,410.9,141.1
6,-38.6,963.9,-87.5,818.6,116.9,498.6,202.7,118.4,146.7,42,416.6,132.4
7,-24.5,965.1,-73.4,819.5,129.2,498.5,207.2,117.5,148.6,43.9,421.9,124
8,-10.5,966.6,-59.1,820.6,141.5,498.6,211.5,116.6,150.3,45.8,426.8,116.1
9,3.6,968.2,-44.9,822,153.6,498.8,215.5,115.8,151.9,47.5,431.1,108.7
10,17.6,970.1,-30.7,823.7,165.4,499,219.1,115.1,153.4,49.1,435,102
11,31.5,972.2,-16.7,825.6,176.8,499.3,222.4,114.5,154.7,50.5,438.3,96
12,45.3,974.4,-2.8,827.7,187.6,499.6,225.3,114,155.9,51.7,441,90.7
13,59,976.7,11,829.9,197.9,499.9,227.8,113.6,156.9,52.8,443.4,86.1
14,72.7,979.2,24.6,832.3,207.5,500.1,229.9,113.2,157.7,53.7,445.3,82.3
15,86.3,981.7,38,834.8,216.4,500.2,231.8,113,158.4,54.5,446.9,79.1
16,99.8,984.3,51.2,837.4,224.8,500.3,233.4,112.8,158.9,55.2,448.2,76.4
17,113.2,986.9,64.3,840.1,232.5,500.4,234.7,112.6,159.3,55.7,449.2,74.3
18,126.5,989.4,77.1,842.7,239.7,500.3,235.9,112.6,159.6,56.2,450,72.5
19,139.7,991.9,89.8,845.3,246.3,500.3,236.9,112.6,159.8,56.6,450.6,71.2
20,152.7,994.4,102.3,847.8,252.5,500.2,237.7,112.6,160,56.9,451.1,70.1
21,165.7,996.7,114.7,850.3,258.3,500.1,238.5,112.8,160.1,57.2,451.5,69.2
22,178.6,998.9,126.8,852.7,263.7,500,239.1,112.9,160.2,57.5,451.9,68.5
23,191.4,1001,138.9,855.1,268.8,499.8,239.7,113.1,160.2,57.7,452.1,67.8
24,204.1,1002.9,150.8,857.3,273.7,499.7,240.2,113.2,160.2,57.9,452.3,67.3
25,216.7,1004.7,162.6,859.4,278.3,499.5,240.7,113.4,160.3,58.1,452.5,66.8
26,229.3,1006.3,174.3,861.4,282.7,499.4,241.1,113.6,160.3,58.3,452.6,66.3
27,241.7,1007.7,186,863.2,286.9,499.2,241.5,113.9,160.4,58.4,452.8,65.8
28,254.1,1008.9,197.5,864.9,291,499.1,241.9,114.1,160.4,58.6,452.9,65.3
29,266.4,1009.9,209,866.5,294.9,498.9,242.2,114.3,160.5,58.8,453,64.8
30,278.7,1010.7,220.4,867.9,298.8,498.7,242.6,114.6,160.6,59,453.1,64.3
31,290.9,1011.3,231.8,869.1,302.5,498.6,242.9,114.8,160.7,59.2,453.3,63.8
32,303,1011.6,243.1,870.2,306.2,498.4,243.3,115.1,160.9,59.5,453.4,63.3
33,315.1,1011.8,254.4,871,309.8,498.2,243.6,115.3,161,59.7,453.5,62.8
34,327.2,1011.7,265.7,871.7,313.4,498,243.9,115.6,161.2,60,453.7,62.4
35,339.3,1011.4,276.9,872.2,317,497.8,244.2,115.9,161.4,60.3,453.8,61.9
36,351.5,1010.8,288.1,872.5,320.7,497.5,244.6,116.2,161.6,60.7,453.9,61.5
37,363.6,1010.1,299.4,872.6,324.4,497.2,244.9,116.5,161.8,61.1,454.1,61.1
38,375.8,1009.1,310.6,872.5,328.2,496.9,245.2,116.9,162,61.5,454.2,60.7
39,388,1007.8,321.9,872.2,332.1,496.6,245.6,117.2,162.3,62,454.4,60.3
40,400.2,1006.4,333.3,871.8,336.1,496.2,246,117.6,162.6,62.6,454.5,59.9
41,412.5,1004.8,344.7,871.1,340.4,495.7,246.4,118,162.9,63.2,454.7,59.6
42,424.8,1002.9,356.1,870.3,344.8,495.2,246.9,118.4,163.3,63.9,454.8,59.3
43,437.2,1000.9,367.6,869.4,349.5,494.6,247.4,118.9,163.6,64.6,455,58.9
44,449.7,998.7,402.3,865.6,365.4,492.3,249.3,120.6,165,67.6,455.4,58
45,462.1,996.4,414,864.1,371.4,491.4,250.1,121.3,165.5,68.8,455.6,57.7
46,474.7,994,425.8,862.6,377.8,490.5,251.1,122.1,166.2,70.3,455.8,57.3
47,487.3,991.5,437.6,860.9,384.6,489.5,252.2,123,166.9,72,455.9,57
48,500,988.9,449.6,859.2,391.8,488.4,253.4,124.1,167.7,73.9,456.1,56.7
49,512.8,986.4,461.7,857.4,399.5,487.2,254.9,125.3,168.7,76.1,456.3,56.3
50,525.7,983.8,474,855.6,407.7,486.1,256.6,126.7,169.9,78.7,456.6,55.9
51,538.7,981.3,486.4,853.9,416.4,484.9,258.5,128.4,171.2,81.7,456.8,55.5
52,551.9,978.9,499.1,852.1,425.6,483.7,260.8,130.3,172.9,85.1,457.1,55.1
53,565.2,976.5,511.9,850.4,435.5,482.5,263.4,132.4,174.9,88.9,457.4,54.6
54,578.7,974.3,525,848.7,445.9,481.3,266.5,134.9,177.2,93.3,457.8,54.1
55,592.4,972.3,538.3,847.1,456.9,480.1,270,137.6,180.1,98.2,458.2,53.5
56,606.4,970.4,551.8,845.6,468.6,479,274,140.7,183.4,103.8,458.7,52.9
57,620.5,968.7,565.6,844.2,481,477.8,278.6,144.1,187.4,109.9,459.3,52.2
58,634.9,967.3,579.7,842.8,494.1,476.7,283.8,147.8,192.1,116.6,460.1,51.4
59,649.5,966,594,841.6,507.9,475.6,289.7,151.9,197.6,124,461,50.4
60,664.3,965.1,608.6,840.4,522.5,474.5,296.4,156.3,204,131.9,462.1,49.4
61,679.2,964.3,623.5,839.4,538,473.4,303.9,161,211.4,140.5,463.5,48.2
62,694.3,963.8,638.5,838.4,554.3,472.4,312.3,166.1,220,149.7,465.1,46.9
63,709.4,963.5,653.7,837.6,571.4,471.3,321.8,171.5,229.8,159.4,467.2,45.5
64,724.5,963.4,669.1,836.8,589.4,470.2,332.2,177.1,240.9,169.5,469.8,44
65,739.5,963.5,684.5,836.1,608.3,469.1,343.8,183,253.3,180,472.9,42.3
66,754.5,963.8,700,835.4,628,468.1,356.6,189.1,267.1,190.7,476.7,40.6
67,769.3,964.3,715.4,834.9,648.6,467,370.5,195.3,282.4,201.6,481.5,39
68,784,964.9,730.8,834.4,670,466,385.6,201.6,299,212.4,487.2,37.4
69,798.4,965.6,746,833.9,692.1,465,402,207.8,317,223,494.2,36.1
70,812.5,966.4,761.1,833.5,714.9,464.2,419.6,214.1,336.3,233.2,502.6,35.1
71,826.4,967.3,775.9,833.2,738.3,463.5,438.3,220.2,356.7,242.8,512.7,34.6
72,840,968.3,790.6,832.9,762.3,463,458.2,226,378.3,251.7,524.7,34.5
73,853.2,969.4,804.9,832.8,786.6,462.8,479.1,231.6,400.7,259.7,538.7,35
74,866.1,970.6,819.1,832.8,811.3,462.9,501.1,236.8,423.9,266.8,555,35.9
75,878.8,971.8,833,832.9,836.3,463.4,524,241.5,447.8,272.7,573.7,37.3
76,891.1,973.2,846.6,833.2,861.4,464.3,547.9,245.6,472.3,277.5,594.7,39.1
77,903.3,974.6,860.1,833.7,886.5,465.7,572.6,249.1,497.3,281,618.1,41
78,915.1,976.2,873.4,834.4,911.6,467.5,598.2,251.9,522.8,283.3,643.7,43.1
79,926.9,977.8,886.5,835.3,936.6,469.8,624.5,254,548.8,284.4,671.5,45.1
80,938.5,979.6,899.6,836.4,961.5,472.5,651.5,255.2,575.2,284.1,701.3,47
81,950,981.4,912.5,837.7,986,475.7,679.2,255.6,602,282.7,732.9,48.7
82,961.6,983.3,925.5,839.1,1010.3,479.2,707.5,255.2,629.2,280,766.2,50.2
83,973.1,985.3,938.5,840.7,1034.2,482.9,736.4,253.9,656.9,276.1,800.9,51.5
84,984.8,987.2,951.6,842.4,1057.8,486.9,765.8,251.8,685,271.1,837,52.6
85,996.5,989.2,964.7,844.2,1080.9,491,795.7,249,713.7,265,874.3,53.5
86,1008.4,991.1,977.9,846,1103.5,495.1,826.2,245.4,742.9,257.8,912.5,54.3
87,1020.5,992.9,991.2,847.7,1125.7,499.2,857.2,241.1,772.6,249.8,951.7,55
88,1032.7,994.6,1004.6,849.5,1147.4,503.3,888.6,236.2,803,240.8,991.7,55.7
89,1045.1,996.1,1018.2,851.1,1168.6,507.1,920.6,230.7,834,231.1,1032.3,56.6
90,1057.7,997.5,1031.8,852.6,1189.3,510.8,953,224.8,865.6,220.8,1073.4,57.7
91,1070.3,998.7,1045.5,853.9,1209.5,514.1,985.9,218.6,898,209.9,1114.9,59
92,1083.1,999.7,1059.3,855,1229.1,517.2,1019.2,212,931.1,198.6,1156.6,60.8
93,1096,1000.4,1073.1,855.9,1248.3,519.9,1052.9,205.2,964.8,187,1198.5,62.9
94,1108.9,1000.9,1087,856.5,1266.9,522.2,1087,198.4,999.2,175.3,1240.5,65.6
95,1122,1001.1,1100.9,856.9,1285,524,1121.5,191.6,1034.4,163.5,1282.3,68.9
96,1135.1,1001,1114.9,857,1302.5,525.5,1156.1,184.8,1070.1,151.9,1323.9,72.9
97,1148.2,1000.7,1128.9,856.8,1319.5,526.5,1191,178.4,1106.4,140.4,1365.1,77.5
98,1161.4,1000.1,1142.9,856.3,1336.1,527,1226,172.2,1143.1,129.3,1405.8,82.8
99,1174.7,999.2,1156.8,855.5,1352.1,527.1,1261,166.4,1180.1,118.7,1445.9,88.9
100,1188,998,1170.8,854.4,1367.6,526.7,1295.9,161.1,1217.4,108.6,1485.2,95.6
101,1201.4,996.7,1184.6,853.1,1382.6,526,1330.5,156.4,1254.6,99.3,1523.6,102.9
102,1214.8,995,1198.4,851.5,1397.3,524.8,1364.6,152.2,1291.7,90.7,1560.9,110.8
103,1228.3,993.2,1212.1,849.6,1411.5,523.3,1398.2,148.6,1328.3,82.9,1597.1,119.1
104,1241.8,991.2,1225.7,847.5,1425.4,521.6,1430.9,145.6,1364.3,75.9,1631.9,127.8
105,1255.3,989,1239.2,845.3,1439,519.6,1462.7,143.2,1399.4,69.8,1665.2,136.6
106,1268.8,986.8,1252.5,842.9,1452.3,517.4,1493.3,141.3,1433.4,64.6,1697,145.3
107,1282.3,984.4,1265.8,840.4,1465.4,515.2,1522.5,139.8,1465.9,60.2,1727,153.9
108,1295.7,982,1278.8,837.8,1478.2,512.9,1550.1,138.7,1496.7,56.5,1755.3,162
109,1308.9,979.5,1291.7,835.2,1490.8,510.6,1576,137.8,1525.6,53.4,1781.7,169.6
110,1322,977.1,1304.2,832.7,1503.2,508.4,1600.1,137.1,1552.4,50.9,1806.2,176.4
111,1334.7,974.8,1316.4,830.2,1515.2,506.3,1622.2,136.5,1576.9,48.8,1828.7,182.4
112,1346.9,972.5,1328.2,827.9,1526.9,504.4,1642.2,135.9,1599.1,47.1,1849.1,187.5
113,1358.5,970.4,1339.3,825.8,1538.1,502.7,1660.1,135.2,1618.6,45.6,1867.4,191.6
114,1369.4,968.5,1349.7,823.8,1548.6,501.1,1675.7,134.5,1635.6,44.3,1883.6,194.7
115,1379.3,966.8,1359.1,822.1,1558.2,499.8,1689.1,133.7,1650,43.1,1897.5,197.1
116,1387.9,965.4,1367.3,820.6,1566.7,498.8,1700.2,132.9,1661.8,42.1,1909.2,198.7
117,1395.2,964.2,1374.2,819.5,1573.9,497.9,1708.9,132.2,1671,41.3,1918.5,199.7
118,1400.9,963.3,1379.6,818.6,1579.5,497.2,1715.5,131.5,1677.8,40.6,1925.6,200.2
119,1404.9,962.7,1383.5,818,1583.5,496.8,1719.9,131,1682.4,40.1,1930.4,200.5
120,1407.6,962.3,1386,817.6,1586.2,496.5,1722.7,130.7,1685.2,39.8,1933.5,200.5
121,1409.4,962.1,1387.7,817.3,1588,496.3,1724.5,130.4,1687,39.6,1935.5,200.5
122,1503.3,954.1,1483.7,808.7,1679,487.3,1780.3,116.5,1731.3,38.7,1937.5,200.4
