,Ana Pinzon Dep 1:RASI,,Ana Pinzon Dep 1:RPSI,,Ana Pinzon Dep 1:RTHI,,Ana Pinzon Dep 1:RKNE,,Ana Pinzon Dep 1:RTIB,,Ana Pinzon Dep 1:RANK,,Ana Pinzon Dep 1:RHEE,,Ana Pinzon Dep 1:RTOE,
Frame,X,Z,X,Z,X,Z,X,Z,X,Z,X,Z,X,Z,X,Z
,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,-185.805222,1276.78064,-385.275116,1286.569336,-256.33905,969.292358,-284.929047,811.343933,-328.129395,618.91925,-344.571289,422.935791,-395.035339,390.699677,-184.124191,380.456696
2,-185.464706,1276.657471,-380.50238,1280.904785,-255.870132,969.24176,-284.527069,811.302063,-327.907776,618.882324,-344.545593,422.948608,-395.03421,390.706055,-184.115616,380.399597
3,-185.126099,1276.539551,-376.633087,1276.314087,-255.40361,969.191223,-284.151917,811.276794,-327.691986,618.851013,-344.521576,422.959564,-395.033691,390.7117,-184.111008,380.357513
4,-184.789307,1276.427124,-373.661255,1272.790283,-254.939468,969.14093,-283.803558,811.267761,-327.481903,618.825195,-344.499207,422.968689,-395.033722,390.716583,-184.110245,380.329987
5,-184.454361,1276.320435,-371.56958,1270.312012,-254.477646,969.091003,-283.481781,811.273499,-327.277161,618.804932,-344.47821,422.976135,-395.034332,390.720734,-184.112854,380.315796
6,-184.121384,1276.220215,-370.322296,1268.836426,-254.018219,969.041443,-283.186035,811.29187,-327.077026,618.789917,-344.458466,422.982056,-395.035645,390.724091,-184.118027,380.312714
7,-183.790649,1276.126587,-369.859497,1268.290894,-253.56134,968.99292,-282.915131,811.318787,-326.880432,618.77948,-344.439453,422.986908,-395.03772,390.726654,-184.124664,380.317505
8,-183.462845,1276.041138,-370.093689,1268.569824,-253.107605,968.945801,-282.666931,811.349548,-326.68573,618.773132,-344.420624,422.990967,-395.040497,390.728394,-184.13121,380.326233
9,-183.13916,1275.964722,-370.9104,1269.535767,-252.658005,968.900757,-282.438019,811.378601,-326.490967,618.769714,-344.401428,422.994904,-395.044067,390.729309,-184.136002,380.334656
10,-182.821487,1275.898193,-372.172791,1271.024048,-252.214279,968.858521,-282.223846,811.399963,-326.294098,618.768127,-344.381226,422.999207,-395.04834,390.729401,-184.137466,380.338623
11,-182.512543,1275.842773,-373.730316,1272.853394,-251.7789,968.820068,-282.018921,811.408508,-326.092712,618.767212,-344.359467,423.004333,-395.053223,390.728638,-184.13414,380.334839
12,-182.215775,1275.798828,-375.429749,1274.839722,-251.355148,968.786316,-281.817047,811.40033,-325.884888,618.765259,-344.335571,423.010712,-395.058594,390.727203,-184.125061,380.321075
13,-181.93541,1275.766235,-377.127655,1276.810791,-250.946884,968.757935,-281.612091,811.373352,-325.668671,618.760986,-344.309204,423.018524,-395.064301,390.724945,-184.109894,380.29657
14,-181.676117,1275.745117,-378.701965,1278.618774,-250.558411,968.735596,-281.398682,811.327515,-325.442749,618.753357,-344.279907,423.02771,-395.070129,390.722076,-184.088898,380.26178
15,-181.44278,1275.734497,-380.060638,1280.15271,-250.193924,968.719543,-281.172974,811.265076,-325.206512,618.741333,-344.247162,423.037994,-395.076202,390.718445,-184.062988,380.218597
16,-181.240173,1275.733276,-381.146973,1281.343018,-249.857117,968.709717,-280.932922,811.190308,-324.959808,618.724548,-344.210297,423.048737,-395.08252,390.714111,-184.0336,380.169739
17,-181.07251,1275.739746,-381.940247,1282.162964,-249.550507,968.705383,-280.678772,811.108521,-324.703156,618.702759,-344.168579,423.05896,-395.089233,390.708923,-184.002609,380.118591
18,-180.943192,1275.752563,-382.452271,1282.625854,-249.27504,968.705322,-280.412811,811.026184,-324.437683,618.676514,-344.120911,423.067627,-395.09668,390.702789,-183.971924,380.068512
19,-180.854477,1275.769653,-382.720947,1282.774902,-249.029724,968.707642,-280.138916,810.949097,-324.164825,618.646362,-344.066254,423.073547,-395.105255,390.695496,-183.943527,380.022705
20,-180.807327,1275.790161,-382.801147,1282.675537,-248.811417,968.7099,-279.861755,810.882385,-323.886414,618.613464,-344.003479,423.075684,-395.115295,390.686798,-183.918976,379.983795
21,-180.801331,1275.812866,-382.755829,1282.402344,-248.615112,968.70929,-279.586212,810.829956,-323.60434,618.579102,-343.93158,423.073151,-395.127106,390.676514,-183.899506,379.953522
22,-180.834824,1275.836792,-382.647034,1282.030396,-248.434097,968.702759,-279.316467,810.793762,-323.320435,618.54425,-343.85022,423.065491,-395.141022,390.66449,-183.885803,379.932953
23,-180.905045,1275.861938,-382.529541,1281.625977,-248.260834,968.687561,-279.055237,810.77417,-323.03653,618.510132,-343.759613,423.052704,-395.156982,390.650574,-183.87793,379.921997
24,-181.008347,1275.888428,-382.445709,1281.241943,-248.087753,968.661316,-278.803772,810.770081,-322.75412,618.477539,-343.660767,423.035339,-395.174805,390.634796,-183.875519,379.919983
25,-181.140686,1275.916992,-382.423889,1280.913818,-247.907974,968.622559,-278.561432,810.779419,-322.474701,618.44696,-343.555573,423.014435,-395.194031,390.617523,-183.877731,379.925201
26,-181.297729,1275.948364,-382.47818,1280.661377,-247.716415,968.571045,-278.326263,810.799194,-322.199432,618.41864,-343.446625,422.99118,-395.21402,390.59903,-183.883469,379.935486
27,-181.475342,1275.983887,-382.610413,1280.488647,-247.510193,968.508057,-278.095215,810.826538,-321.929474,618.392517,-343.337006,422.967224,-395.233948,390.580048,-183.891403,379.948303
28,-181.669632,1276.024658,-382.81308,1280.388916,-247.289078,968.43573,-277.864838,810.858887,-321.665802,618.36853,-343.229919,422.943909,-395.253113,390.561249,-183.900101,379.961121
29,-181.877365,1276.071777,-383.07254,1280.347412,-247.055573,968.358093,-277.631927,810.894104,-321.409241,618.346008,-343.128357,422.922546,-395.27066,390.543396,-183.908325,379.971741
30,-182.095779,1276.126343,-383.372498,1280.345947,-246.814499,968.279724,-277.39389,810.930786,-321.160736,618.325073,-343.034698,422.904175,-395.286011,390.527313,-183.914978,379.978607
31,-182.32283,1276.189087,-383.696289,1280.365356,-246.572556,968.205994,-277.149048,810.967896,-320.920929,618.305237,-342.950653,422.889343,-395.298767,390.513611,-183.919235,379.981323
32,-182.5569,1276.260254,-384.029327,1280.388672,-246.337387,968.142456,-276.897156,811.00531,-320.69046,618.286987,-342.877045,422.878601,-395.308807,390.502808,-183.920731,379.980469
33,-182.796875,1276.339844,-384.360077,1280.403198,-246.116913,968.094177,-276.639038,811.042847,-320.469696,618.270508,-342.813995,422.872192,-395.316101,390.495087,-183.919373,379.977661
34,-183.041946,1276.427612,-384.680328,1280.400146,-245.918442,968.065491,-276.376465,811.08075,-320.25885,618.256653,-342.7612,422.870392,-395.320953,390.490662,-183.915436,379.974976
35,-183.291428,1276.522583,-384.985321,1280.375732,-245.747986,968.059631,-276.111938,811.119202,-320.057709,618.246277,-342.717896,422.873749,-395.323608,390.489197,-183.909409,379.974335
36,-183.544708,1276.624023,-385.27301,1280.329712,-245.609802,968.078552,-275.848267,811.158386,-319.865845,618.24054,-342.683472,422.882721,-395.324493,390.490387,-183.90184,379.977081
